Date,GS
2011-08-28,114.63
2011-08-29,116.07
2011-08-30,115.18
2011-08-31,116.220001
2011-09-01,112.160004
2011-09-02,107.059998
2011-09-03,106.434998
2011-09-04,105.809998
2011-09-05,105.184998
2011-09-06,104.559998
2011-09-07,108.339996
2011-09-08,104.790001
2011-09-09,102.25
2011-09-10,102.47333266666666
2011-09-11,102.69666533333333
2011-09-12,102.91999799999999
2011-09-13,104.089996
2011-09-14,104.540001
2011-09-15,107.970001
2011-09-16,107.489998
2011-09-17,106.59666466666667
2011-09-18,105.70333133333332
2011-09-19,104.809998
2011-09-20,102.610001
2011-09-21,97.860001
2011-09-22,93.980003
2011-09-23,95.18
2011-09-24,96.49999966666667
2011-09-25,97.81999933333334
2011-09-26,99.139999
2011-09-27,99.550003
2011-09-28,96.32
2011-09-29,99.870003
2011-09-30,94.550003
2011-10-01,93.06000266666668
2011-10-02,91.57000233333333
2011-10-03,90.08000200000001
2011-10-04,94.58000200000001
2011-10-05,94.290001
2011-10-06,97.93
2011-10-07,92.690002
2011-10-08,93.840001
2011-10-09,94.99000000000001
2011-10-10,96.139999
2011-10-11,96.699997
2011-10-12,99.110001
2011-10-13,96.150002
2011-10-14,96.730003
2011-10-15,96.78666933333334
2011-10-16,96.84333566666666
2011-10-17,96.900002
2011-10-18,102.25
2011-10-19,100.790001
2011-10-20,100.860001
2011-10-21,102.089996
2011-10-22,102.71999833333334
2011-10-23,103.35000066666666
2011-10-24,103.980003
2011-10-25,100.440002
2011-10-26,106.33000200000001
2011-10-27,116.400002
2011-10-28,115.860001
2011-10-29,113.75666833333334
2011-10-30,111.65333566666666
2011-10-31,109.550003
2011-11-01,103.540001
2011-11-02,106.129997
2011-11-03,107.68
2011-11-04,105.040001
2011-11-05,105.21666733333333
2011-11-06,105.39333366666666
2011-11-07,105.57
2011-11-08,108.58000200000001
2011-11-09,99.66999799999999
2011-11-10,99.5
2011-11-11,101.660004
2011-11-12,100.870003
2011-11-13,100.08000200000001
2011-11-14,99.290001
2011-11-15,99.75
2011-11-16,95.599998
2011-11-17,92.349998
2011-11-18,91.910004
2011-11-19,91.70667033333334
2011-11-20,91.50333666666667
2011-11-21,91.300003
2011-11-22,89.400002
2011-11-23,87.889999
2011-11-24,88.3199995
2011-11-25,88.75
2011-11-26,89.42666633333333
2011-11-27,90.10333266666667
2011-11-28,90.779999
2011-11-29,88.809998
2011-11-30,95.860001
2011-12-01,94.43
2011-12-02,97.25
2011-12-03,98.10666666666667
2011-12-04,98.96333333333332
2011-12-05,99.82
2011-12-06,101.160004
2011-12-07,105.129997
2011-12-08,99.91999799999999
2011-12-09,101.449997
2011-12-10,100.30999766666666
2011-12-11,99.16999833333334
2011-12-12,98.029999
2011-12-13,95.040001
2011-12-14,93.25
2011-12-15,91.900002
