Date,BZ=F_oil,CL=F_oil,GLD,SI=F,AAPL,BAC,C,CS,DB,GSBD(march-19-2015),HRI,JPM,LYG,MAN,MS,MUFG,UBS
2018-08-27,76.209999,68.870003,114.589996,14.844,54.485001000000004,31.309998999999998,72.389999,15.17,11.73,22.209999,52.099998,116.709999,3.17,92.839996,49.889998999999996,6.11,15.81
2018-08-28,75.949997,68.529999,113.68,14.767,54.924999,31.27,72.379997,15.17,11.55,22.33,52.400002,116.139999,3.13,94.459999,50.0,6.08,15.78
2018-08-29,77.139999,69.510002,114.199997,14.688,55.744999,31.139999,72.529999,15.25,11.66,22.33,52.93,115.760002,3.15,94.389999,49.950001,6.18,15.9
2018-08-30,77.769997,70.25,113.639999,14.477,56.2575,31.01,71.459999,15.05,11.42,22.15,52.630001,115.190002,3.12,93.589996,49.299999,6.08,15.76
2018-08-31,77.41999799999999,69.800003,113.510002,14.438,56.907501,30.93,71.239998,14.95,11.26,22.01,52.580002,114.58000200000001,3.09,93.730003,48.830002,6.04,15.66
2018-09-01,77.60749799999999,69.817503,113.3650015,14.34375,56.953125750000005,30.98249975,71.279999,14.989999999999998,11.3,21.99500025,52.50750175,114.722502,3.0925,93.680002,48.80000125,6.0375,15.6575
2018-09-02,77.79499799999999,69.835003,113.220001,14.249500000000001,56.9987505,31.034999499999998,71.32,15.03,11.34,21.980000500000003,52.4350015,114.865002,3.0949999999999998,93.630001,48.770000499999995,6.035,15.655000000000001
2018-09-03,77.98249799999999,69.852503,113.0750005,14.15525,57.04437525,31.08749925,71.360001,15.07,11.379999999999999,21.96500075,52.36250125,115.007502,3.0975,93.58,48.739999749999996,6.032500000000001,15.6525
2018-09-04,78.16999799999999,69.870003,112.93,14.061,57.09,31.139999,71.400002,15.11,11.42,21.950001,52.290001000000004,115.150002,3.1,93.529999,48.709998999999996,6.03,15.65
2018-09-05,77.269997,68.720001,113.32,14.118,56.717499,31.18,71.16999799999999,15.09,11.47,21.83,52.790001000000004,114.589996,3.15,92.160004,48.720001,5.99,15.87
2018-09-06,76.5,67.769997,113.540001,14.075,55.775002,30.85,70.110001,15.02,11.38,21.92,51.040001000000004,114.099998,3.1,91.849998,47.93,6.01,15.8
2018-09-07,76.83000200000001,67.75,113.230003,14.067,55.325001,30.860001,69.639999,14.85,11.13,21.92,49.540001000000004,114.32,3.04,88.25,48.220001,6.0,15.66
2018-09-08,77.01000233333333,67.68000033333334,113.203336,14.071,55.077500666666666,30.846667333333333,69.63666500000001,14.846666666666666,11.123333333333333,21.90333366666667,49.90333433333333,114.11666633333333,3.0566666666666666,88.27999866666667,48.126667000000005,6.01,15.62
2018-09-09,77.19000266666667,67.61000066666666,113.176669,14.075000000000001,54.83000033333334,30.833333666666668,69.633331,14.843333333333334,11.116666666666667,21.886667333333335,50.26666766666667,113.91333266666666,3.0733333333333333,88.30999733333333,48.033333,6.0200000000000005,15.58
2018-09-10,77.370003,67.540001,113.150002,14.079,54.5825,30.82,69.629997,14.84,11.11,21.870001000000002,50.630001,113.709999,3.09,88.339996,47.939999,6.03,15.54
2018-09-11,79.059998,69.25,113.220001,14.052,55.962502,30.85,69.43,14.93,11.24,21.84,52.200001,114.43,3.09,86.529999,47.860001000000004,6.04,15.48
2018-09-12,79.739998,70.370003,114.16999799999999,14.192,55.267502,30.43,70.510002,14.78,11.24,21.879998999999998,52.259997999999996,113.08000200000001,3.08,86.33000200000001,47.48,5.99,15.47
2018-09-13,78.18,68.589996,113.760002,14.143,56.602501000000004,30.139999,70.150002,14.94,11.36,22.040001,52.060001,113.519997,3.1,87.629997,47.720001,6.04,15.58
2018-09-14,78.089996,68.989998,113.019997,14.042,55.959998999999996,30.370001000000002,70.540001,14.94,11.4,21.91,51.799999,113.5,3.06,88.209999,48.189999,6.06,15.62
2018-09-15,78.076665,68.96333333333334,113.216665,14.068666666666667,55.463333,30.340001,70.653333,14.98,11.436666666666667,22.06333366666667,51.383332333333335,113.613332,3.08,88.20333333333333,48.01999933333333,6.076666666666666,15.633333333333333
2018-09-16,78.063334,68.93666866666666,113.413333,14.095333333333333,54.966667,30.310001000000003,70.766665,15.02,11.473333333333333,22.216667333333334,50.966665666666664,113.726664,3.1,88.19666766666667,47.84999966666667,6.093333333333334,15.646666666666667
2018-09-17,78.050003,68.910004,113.610001,14.122,54.470001,30.280001000000002,70.879997,15.06,11.51,22.370001000000002,50.549999,113.839996,3.12,88.190002,47.68,6.11,15.66
2018-09-18,79.029999,69.849998,113.440002,14.084,54.560001,30.209999,71.360001,15.09,11.58,22.219998999999998,51.07,114.300003,3.15,88.68,47.849998,6.23,15.71
2018-09-19,79.400002,71.120003,113.879997,14.189,54.592499,31.0,73.720001,15.4,11.95,22.18,51.419998,117.620003,3.21,84.050003,49.099998,6.31,15.97
2018-09-20,78.699997,70.800003,114.269997,14.215,55.0075,31.190001000000002,74.790001,15.87,12.25,22.370001000000002,52.77,118.629997,3.3,85.489998,49.880001,6.41,16.65
2018-09-21,78.800003,70.779999,113.489998,14.269,54.415001000000004,31.030001000000002,74.150002,15.94,12.34,22.5,51.57,117.849998,3.23,85.739998,49.41,6.41,16.51
